Country Name,Country Code,"Life expectancy at birth, total (years) [SP.DYN.LE00.IN] - 2016 [YR2016]",Access to electricity (% of population) [EG.ELC.ACCS.ZS] - 2016 [YR2016],Adjusted net national income (current US$) [NY.ADJ.NNTY.CD] - 2016 [YR2016],Children out of school (% of primary school age) [SE.PRM.UNER.ZS] - 2016 [YR2016],Expenditure on primary education (% of government expenditure on education) [SE.XPD.PRIM.ZS] - 2016 [YR2016],Public private partnerships investment in water and sanitation (current US$) [IE.PPN.WATR.CD] - 2016 [YR2016],"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population) [SH.STA.WASH.P5] - 2016 [YR2016]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS] - 2016 [YR2016]",Population growth (annual %) [SP.POP.GROW] - 2016 [YR2016],"Population, total [SP.POP.TOTL] - 2016 [YR2016]","Primary completion rate, total (% of relevant age group) [SE.PRM.CMPT.ZS] - 2016 [YR2016]","Secondary education, duration (years) [SE.SEC.DURS] - 2016 [YR2016]","Secondary education, teachers [SE.SEC.TCHR] - 2016 [YR2016]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS] - 2016 [YR2016],"Current health expenditure per capita, PPP (current international $) [SH.XPD.CHEX.PP.CD] - 2016 [YR2016]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS] - 2016 [YR2016]","Unemployment, youth total (% of total labor force ages 15-24) (national estimate) [SL.UEM.1524.NE.ZS] - 2016 [YR2016]",Rural population (% of total population) [SP.RUR.TOTL.ZS] - 2016 [YR2016],"Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT] - 2016 [YR2016]","GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD] - 2016 [YR2016]",Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2] - 2016 [YR2016],Individuals using the Internet (% of population) [IT.NET.USER.ZS] - 2016 [YR2016]
Afghanistan,AFG,63.763,97.7,16482932352,NA,43.30205,NA,13.9,NA,2.778317409,35383128,NA,6,62601.06,10.19867734,162.7811582,NA,NA,74.98,75.325,1896.99252,61.05463771,11.2
Albania,ALB,78.194,100,10860478619,2.34458,NA,NA,0.2,NA,-0.159880412,2876101,99.88155,7,24082,6.69789475,759.6669842,15.22000027,NA,41.579,19.8596,11868.17792,116.7444442,66.3634447
Algeria,DZA,76.298,99.9923172,1.3319E+11,0.72481,NA,NA,1.9,NA,2.051354584,40551404,105.59,7,NA,6.648475,998.1537539,10.20240021,25.7159996,28.541,10.368,15050.43219,116.0042077,42.94552688
American Samoa,ASM,NA,NA,NA,NA,NA,NA,NA,NA,-0.12729377,55741,NA,NA,NA,NA,NA,NA,NA,12.802,NA,NA,NA,NA
Andorra,AND,NA,100,NA,NA,21.50379,NA,NA,NA,-0.919469738,77297,NA,6,557,10.36772767,4978.706602,NA,NA,11.752,NA,NA,98.49282637,97.93063712
Angola,AGO,59.925,40.62452698,56217308967,NA,NA,NA,48.8,NA,3.37827278,28842484,NA,6,75997,2.87782524,185.8204006,NA,NA,35.851,153.9008,6756.935074,45.07629005,13
Antigua and Barbuda,ATG,76.617,100,NA,NA,NA,NA,0.1,NA,1.021843835,94527,NA,5,NA,4.30900835,976.3886597,NA,NA,75.154,43.6256,24177.95972,190.4217843,73
Argentina,ARG,76.221,99.9668808,4.79757E+11,0.45239,30.07402,NA,0.4,99.12501,1.057181578,43590368,103.8936,6,NA,7.54838404,1531.038361,NA,NA,8.373,62.939,20130.40803,146.4538276,70.96898082
Armenia,ARM,74.64,100,9056852565,7.50256,20.66574,200000000,0.2,NA,0.361431439,2936146,90.75161,8,NA,9.92732109,876.8568566,NA,NA,36.918,22.1604,8808.572714,116.9754675,64.34602977
Aruba,ABW,75.868,100,2240989306,NA,27.52589,NA,NA,NA,0.50761773,104872,NA,5,NA,NA,NA,NA,NA,56.808,23.8416,38390.27165,NA,93.54245387
